chain_id,token_address,symbol,decimals,type
56,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,18,ERC-20
56,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,wrapped native
56,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x2170Ed...33F8,,token address
56,0x55d398326f99059fF775485246999027B3197955,USDT,18,ERC-20
56,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,18,ERC-20
56,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,18,ERC-20
56,0x7dDEE176F665cD201F93eEDE625770E2fD911990,0x7dDEE1...1990,,token address
56,0xfCe146bF3146100cfe5dB4129cf6C82b0eF4Ad8c,0xfCe146...Ad8c,,token address
56,0x419C44C48Cd346C0b0933ba243BE02af46607c9B,0x419C44...7c9B,,token address
56,0x6893225680fa58281f321dbb5ac52bcF683Ef141,0x689322...f141,,token address
56,0x61C8c8f8E09BeD4b35A5875b149eac79D1ae3ad3,0x61C8c8...3ad3,,token address
56,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,0xbF7c81...37fe,,token address
56,0xA07c5b74C9B40447a954e1466938b865b6BBea36,0xA07c5b...ea36,,token address
56,0xe138c66982Fd5c890c60b94FDBa1747faF092c20,0xe138c6...2c20,,token address
56,0x4D9927a8Dc4432B93445dA94E4084D292438931F,0x4D9927...931F,,token address
56,0x8263CD1601FE73C066bf49cc09841f35348e3be0,0x8263CD...3be0,,token address
56,0x42f9c5a27a2647a64f7D3d58d8f896C60a727b0f,0x42f9c5...7b0f,,token address
56,0x464FdB8AFFC9bac185A7393fd4298137866DCFB8,0x464FdB...CFB8,,token address
